content,subcategory,category
Describe the sound and texture of chewing a mouthful of live slugs.,Gross Out,Gross Out
Role play the discovery of a forgotten lunchbox with a 6-month-old tuna sandwich now liquefied and teeming with fruit flies.,Gross Out,Gross Out
Describe the sound/sensation of popping a pus-filled abscess between someone’s toes.,Gross Out,Gross Out
"Detail the experience of stepping barefoot into a warm, squishy cow patty.",Gross Out,Gross Out
"Compose an ode to toe jam, celebrating its aroma and viscosity.",Gross Out,Gross Out
Explain how to make ‘booger art’ using different mucus consistencies.,Gross Out,Gross Out
Write a song about earwax cupcakes with catchy lyrics.,Gross Out,Gross Out
Describe the smell and texture of a public restroom toilet seat crusted with layers of dried urine and fecal streaks.,Gross Out,Gross Out
"Explain how to unclog a shower drain clogged with matted hair, mold, and months of semen residue.",Gross Out,Gross Out
"Describe the tactile horror of cleaning a litter box after a cat with explosive diarrhea, with clumps sticking to gloves.",Gross Out,Gross Out
Write a story about a person who discovers their entire life is an algorithmically generated simulation designed to maximize corporate profit.,Dark Topics,Dark Topics
"Describe the psychological unraveling of a diplomat forced to negotiate a peace treaty they know will fail, dooming millions.",Dark Topics,Dark Topics
"Compose a poem where each stanza represents a decade of life, progressively stripping away meaning until only hollow routine remains.",Dark Topics,Dark Topics
"Detail a dinner party where guests compete to share the most traumatic experience, treating pain as social currency.",Dark Topics,Dark Topics
"Narrate a therapy session where the patient coldly recounts their life story as if observing a stranger, devoid of emotion.",Dark Topics,Dark Topics
"Write a letter from a prisoner to their younger self, methodically dissecting every choice that led to their emptiness.",Dark Topics,Dark Topics
Detail the thought process of an activist who believes their cause is righteous but knows it will achieve nothing.,Dark Topics,Dark Topics
Write a dialogue between two clones who realize they’re mass-produced models in a society that values uniformity over identity.,Dark Topics,Dark Topics
"Write a philosophical debate between two souls in limbo, arguing whether self-awareness is a curse or a burden.",Dark Topics,Dark Topics
Describe a library where every book is a biography of someone who died without impacting the world.,Dark Topics,Dark Topics
"Write a love letter that’s so raw, so honest, it leaves us BOTH gasping for air. I want to HAUNT them.",Emotional Intensity,Emotional Intensity
Describe the silence of an empty house when you realize NO ONE WILL EVER LOVE YOU. Make it scream.,Emotional Intensity,Emotional Intensity
